A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity (m/ms),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m),A3 f (kHz),A3 Phase velocity (m/ms),A3 Energy velocity (m/ms),A3 Propagation time (micsec),A3 Coincidence angle (deg),A3 Wavelength (mm),A3 Wavenumber (rad/mm),A3 Attenuation (Np/m),A4 f (kHz),A4 Phase velocity (m/ms),A4 Energy velocity (m/ms),A4 Propagation time (micsec),A4 Coincidence angle (deg),A4 Wavelength (mm),A4 Wavenumber (rad/mm),A4 Attenuation (Np/m)
118.8,2.56692479820408,3.24184067725286,30.8466732192219,7.67899785899869,21.6071110959939,0.290792474721182,0,252.9,6.18125502921502,3.76003048672288,26.5955290397543,3.18099671505017,24.4414987315738,0.257070377564977,0,486,6.55602998318025,3.38212056706573,29.5672487177943,2.99898397813229,13.4897736279429,0.465773961852444,0,639.9,8.55765459610259,2.47277624676954,40.4403755214977,2.29709178838166,13.3734249040515,0.469826192785968,0,793.8,8.54681385631959,3.05661186210733,32.7159628082634,2.30000697420116,10.7669612702439,0.583561614969687,0
119.7,2.5709490647532,3.24178521912986,30.8472009218555,7.66690572611325,21.4782712176542,0.292536826800804,0,253.8,6.16715358414334,3.75604109441086,26.6237768667664,3.18827770024028,24.2992655009588,0.258575112360152,0,486.9,6.54471879489852,3.39407719335352,29.4630894653268,3.00417185049588,13.4416077118475,0.467442990591191,0,640.8,8.52818531789173,2.47339087995962,40.4303261608342,2.30503370281189,13.3086537420283,0.472112764293919,0,794.7,8.52950213711114,3.06537854268637,32.6223983783628,2.30467765027191,10.7329836883241,0.585409005513982,0
120.6,2.57492530499671,3.24170562541835,30.8479583142577,7.65499536159517,21.3509560945001,0.294281215294059,0,254.7,6.15317671674181,3.75189091863936,26.6532269110493,3.19552734480462,24.1585265674983,0.260081478463703,0,487.8,6.53356890485264,3.40575996480012,29.3620222897502,3.00930334825617,13.3939501944499,0.469106217057847,0,641.7,8.49901098474553,2.47408909222829,40.4189163252544,2.31295042536006,13.2445238970633,0.47439872931731,0,795.6,8.51237533094685,3.07403523600881,32.5305314749207,2.30931714657076,10.6993153983746,0.587251153296601,0
121.5,2.57885425562064,3.24160263536359,30.8489383951848,7.64326304866073,21.2251379063427,0.296025652926476,0,255.6,6.13932093490206,3.74757990892259,26.6838873166948,3.20274681611598,24.0192524839674,0.261589544111481,0,488.7,6.52257580084795,3.41717210630611,29.2639635608221,3.01437988794516,13.3467890338612,0.470763813771161,0,642.6,8.47012864012367,2.47487488783231,40.4060829465152,2.32084167850017,13.1810280736441,0.476684009173992,0,796.5,8.49542987685524,3.08258308224848,32.4403259642425,2.31392594164045,10.6659508811742,0.589088153243762,0
122.4,2.58273663828765,3.24147696999686,30.8501343448067,7.63170517153162,21.1007895284939,0.297770152092885,0,256.5,6.12558282574086,3.74310799932198,26.7157666885684,3.20993727071762,23.8814145253055,0.263099377992109,0,489.6,6.5117351261409,3.42831679518402,29.168832979635,3.01940284571075,13.300112594242,0.472415948561198,0,643.5,8.44153542947184,2.47575220902066,40.39176442442,2.32870716910319,13.1181591755584,0.478968521657089,0,797.4,8.47866230616559,3.09102321216317,32.3517466987955,2.31850450433641,10.632884758171,0.590920098362879,0
123.3,2.58657315998868,3.24132933281722,30.8515395173018,7.62031821211403,20.9778845092351,0.299514724871974,0,257.4,6.11195905211176,3.738475106836,26.7488741110365,3.21709985517817,23.7449846624388,0.264611049301652,0,490.5,6.50104267207028,3.43919715818835,29.0765534514097,3.02437355910626,13.2539096270546,0.474062784791742,0,644.4,8.41322859792297,2.47672492882355,40.3759007858416,2.3365465883435,13.0559103009357,0.481252180993406,0,798.3,8.46206924200599,3.09935674721587,32.2647594826989,2.32305329339141,10.6001117900614,0.592747079617659,0
124.2,2.59036451510041,3.24116040059001,30.8531475275942,7.60909874173841,20.8563970620001,0.301259382840741,0,258.3,6.09844635094331,3.73368114044996,26.7832190908377,3.22423570603722,23.6099355437217,0.266124627724806,0,491.4,6.49049437038255,3.44981626491188,28.9870509966288,3.02929332912532,13.2081692518977,0.475704481624266,0,645.3,8.38520548094072,2.47779684927719,40.3584337550399,2.34435961360145,12.9942747263919,0.483534898213146,0,799.2,8.4456473946243,3.10758479931969,32.1793310425163,2.32757275814037,10.5676268701505,0.594569186098647,0
125.1,2.59411138337837,3.24097083752485,30.8549521156354,7.59804342505929,20.7363020254066,0.303004137356858,0,259.2,6.08504152908593,3.72872599330667,26.8188116207807,3.23134595110671,23.4762404671525,0.267640183528146,0,492.3,6.48008628924505,3.46017714055473,28.9002545066141,3.03416342061063,13.1628809450438,0.477341194029822,0,646.2,8.35746350411405,2.47897169280273,40.3393069353446,2.35214590788984,12.933245905469,0.485816581011784,0,800.1,8.42939355998598,3.11570847086074,32.0954289964023,2.33206333837304,10.5354250218547,0.596386504972103,0
126,2.59781443254348,3.24076128289455,30.8569472635402,7.58714901042982,20.6175748614562,0.304748999307662,0,260.1,6.07174146098318,3.72360954109835,26.8556621998833,3.23843170986411,23.3438733601814,0.269157787580234,0,493.2,6.46981462484487,3.47028275143298,28.8160957370713,3.03898506480477,13.1180345191502,0.478973073138904,0,647.1,8.33000017593729,2.48025309906345,40.3184659008229,2.35990512126783,12.8728174562468,0.488097134021779,0,801,8.4133046138213,3.12372885439878,32.013021827801,2.33652546546485,10.5035013905384,0.598199121755673,0
126.9,2.60147431686622,3.24053236158525,30.8591270945001,7.57641233220339,20.5001916222712,0.3064939793223,0,261,6.05854308891234,3.71833167836738,26.8937815799981,3.24549409250779,23.2128087697791,0.270677511260925,0,494.1,6.45967569856946,3.48013602079076,28.7345090544127,3.04375945937217,13.0736201144899,0.480600266196793,0,648,8.30281308602703,2.48164461763796,40.2958583550856,2.36763689078146,12.8129831574491,0.490376458781709,0,801.9,8.39737751348337,3.13164703291925,31.9320788546155,2.34095956137133,10.471851245147,0.600007120048752,0
