SSH0 f (kHz),SSH0 Phase velocity (m/ms),SSH0 Energy velocity (m/ms),SSH0 Propagation time (micsec),SSH0 Coincidence angle (deg),SSH0 Wavelength (mm),SSH0 Wavenumber (rad/mm),SSH0 Attenuation (Np/m),SSH1 f (kHz),SSH1 Phase velocity (m/ms),SSH1 Energy velocity (m/ms),SSH1 Propagation time (micsec),SSH1 Coincidence angle (deg),SSH1 Wavelength (mm),SSH1 Wavenumber (rad/mm),SSH1 Attenuation (Np/m),SSH2 f (kHz),SSH2 Phase velocity (m/ms),SSH2 Energy velocity (m/ms),SSH2 Propagation time (micsec),SSH2 Coincidence angle (deg),SSH2 Wavelength (mm),SSH2 Wavenumber (rad/mm),SSH2 Attenuation (Np/m),SSH3 f (kHz),SSH3 Phase velocity (m/ms),SSH3 Energy velocity (m/ms),SSH3 Propagation time (micsec),SSH3 Coincidence angle (deg),SSH3 Wavelength (mm),SSH3 Wavenumber (rad/mm),SSH3 Attenuation (Np/m)
777.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.9913151266654,1.57421428972183,0,2278.8,4.23822019975784,2.27279896453256,43.9986120904305,4.64203553790982,1.85984737570556,3.37833382956812,0,3850.2,5.24460251391664,1.8366735049816,54.4462582646129,3.74985311981091,1.36216365745069,4.61265081681791,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
783,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.96378881544702,1.58514633340046,0,2284.2,4.22959247260145,2.27743512971261,43.9090442995928,4.65152542319044,1.85167344041741,3.39324697866985,0,3855.6,5.2310356024079,1.84143699519777,54.3054148802196,3.75959248595571,1.3567371102832,4.63110005583032,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
788.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.93663957698505,1.59607837707908,0,2289.6,4.22107764159713,2.28202921134279,43.8206485276138,4.66092929272693,1.84358736967031,3.40812993761355,0,3861,5.21762966342316,1.84616829917953,54.1662426141982,3.76926615225965,1.35136743419403,4.64950179218055,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
793.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.90985971591713,1.60701042075771,0,2295,4.21267352420034,2.28658176954244,43.7334021166498,4.67024828988403,1.83558759224416,3.42298310019512,0,3866.4,5.20438175754252,1.85086777454601,54.028710951288,3.77887484801237,1.34605363064932,4.66785658766706,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
799.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.88344174486363,1.61794246443633,0,2300.4,4.20437799453655,2.29109335411513,43.6472829971707,4.67948353698793,1.82767257630697,3.4378068526232,0,3871.8,5.19128901867282,1.85553577287308,53.8927901374609,3.78841929018286,1.34079472562447,4.68616499386453,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
804.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.85737837744844,1.62887450811495,0,2305.8,4.19618898154641,2.29556450479995,43.5622696687039,4.68863613583855,1.81984082814919,3.45260157371548,0,3877.2,5.17834865172537,1.86017263983588,53.7584511558145,3.79790018371018,1.33558976883456,4.70442755237807,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
810,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.83166252159878,1.63980655179358,0,2311.2,4.18810446720404,2.29999575151507,43.4783411813379,4.69770716820606,1.81209089096748,3.46736763508864,0,3882.6,5.16555793038293,1.86477871534711,53.6256657033893,3.8073182217853,1.33043783299411,4.72264479508935,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
815.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.80628727311138,1.6507385954722,0,2316.6,4.18012248480535,2.30438761459382,43.3954771179528,4.70669769631212,1.80442134369565,3.48210540134209,0,3888,5.15291419495158,1.869354333691,53.4944061688681,3.81667408612433,1.32533801310483,4.740817244395,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
820.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.78124590947248,1.66167063915083,0,2322,4.17224111732292,2.30874060501356,43.3136575771415,4.71560876329647,1.79683079988067,3.49681523023584,0,3893.4,5.14041485029388,1.87389982365332,53.3646456111203,3.82596844723359,1.32028942577025,4.75894541343768,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
826.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.75653188392038,1.67260268282945,0,2327.4,4.16445849582466,2.31305522461765,43.2328631567931,4.72444139366935,1.78931790660164,3.51149747286267,0,3898.8,5.12805736383972,1.87841550864751,53.2363577385505,3.83520196466672,1.31529120853589,4.77702980632988,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
831.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.73213881973908,1.68353472650807,0,2332.8,4.15677279795311,2.31733196633068,43.153074938306,4.73319659375039,1.78188134342983,3.52615247381483,0,3904.2,5.11583926367134,1.88290170683702,53.1095168892191,3.84437528727411,1.31034251925397,4.79507091837092,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
837,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.70806050477302,1.6944667701867,0,2338.2,4.14918224646282,2.32157131436741,43.0742744714041,4.74187535209439,1.77451982142794,3.54078057134552,0,3909.6,5.10375813667929,1.88735873125405,52.9840980116987,3.85348905344505,1.30544253547148,4.81306923625736,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
842.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.68429088615268,1.70539881386532,0,2343.6,4.14168510781317,2.32577374443531,42.9964437595282,4.75047863990438,1.76723208218688,3.5553820975253,0,3915,5.09181162678641,1.89178688991486,52.8600766466357,3.86254389134272,1.30059045384072,4.83102523828695,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
847.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.66082406522177,1.71633085754394,0,2349,4.13427969081417,2.32993972393136,42.9195652457772,4.75900741143265,1.76001689689833,3.5699573783936,0,3920.4,5.07999743323661,1.89618648593162,52.7374289089865,3.87154041913238,1.29578548955122,4.84893939455649,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
853.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.63765429265707,1.72726290122257,0,2354.4,4.1269643453229,2.3340697121329,42.8436217993758,4.76746260436998,1.75287306546165,3.58450673410559,0,3925.8,5.06831330894593,1.90055781762117,52.6161314708989,3.88047924520294,1.29102687578224,4.86681216715381,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
858.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.61477596377244,1.73819494490119,0,2359.8,4.11973746098835,2.33816416038309,42.7685967026438,4.77584514022354,1.74579941562351,3.59903047907458,0,3931.2,5.05675705891314,1.9049011786105,52.4961615452113,3.88936096838217,1.28631386317489,4.88464401034392,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
864,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.59218361399886,1.74912698857982,0,2365.2,4.11259746604262,2.34222351227086,42.6944736384474,4.78415592468393,1.73879480214892,3.61352892210997,0,3936.6,5.04532653868724,1.90921685793937,52.3774968695439,3.8981861781458,1.28164571932308,4.90243537074984,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
869.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.56987191453303,1.76005903225844,0,2370.6,4.10554282613641,2.34624820380586,42.62123667811,4.7923958479817,1.73185810602228,3.62800236655113,0,3942,5.03401965288967,1.91350514015995,52.2601156909571,3.90695545482067,1.27702172828251,4.92018668752797,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
874.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.54783566814702,1.77099107593706,0,2376,4.09857204321697,2.35023866358829,42.5488702697633,4.80056578523364,1.72498823367718,3.64245111039723,0,3947.4,5.02283435378882,1.91776630543361,52.1439967511526,3.91566936978216,1.27244119009698,4.93789839253845,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
880.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.52606980515226,1.78192311961569,0,2381.4,4.0916836544466,2.35419531297402,42.4773592271202,4.80866659677937,1.71818411625372,3.65687544643311,0,3952.8,5.01176863992464,1.92200062962512,52.0291192721954,3.92432848564616,1.26790342034119,4.95557091051053,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
885.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.50456937951108,1.79285516329431,0,2386.8,4.08487623116007,2.35811856623499,42.4066887186515,4.81669912850839,1.71144470888221,3.67127566235154,0,3958.2,5.00082055478144,1.92620838439414,51.9154629427353,3.93293335645559,1.26340774967951,4.9732046592032,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
891,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.4833295650898,1.80378720697294,0,2392.2,4.07814837785932,2.3620088307152,42.336844257149,4.82466421217801,1.70476898999219,3.68565204087175,0,3963.6,4.98998818550671,1.93038983728424,51.8030079047061,3.9414845278619,1.25895352343998,4.99080004956127,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
896.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.46234565204709,1.81471925065156,0,2397.6,4.07149873124381,2.36586650698228,42.2678116896597,4.83256266572246,1.69815596064557,3.70000485985456,0,3969,4.97926966167417,1.93454525180944,51.6917347404857,3.94998253730156,1.25454010120286,5.0083574858669,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.4416130433522,1.82565129433018,0,2403,4.06492595927508,2.36969198897498,42.1995771877743,4.84039529355348,1.69160464389308,3.71433439241416,0,3974.4,4.96866315408938,1.93867488753843,51.5816244604951,3.95842791416764,1.25016685640333,5.025877365887,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
907.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.42112725142749,1.83658333800881,0,2408.4,4.05842876027414,2.37348566414651,42.1321272382571,4.84816288685267,1.68511408415302,3.72864090702658,0,3979.8,4.95816687363595,1.94277900017648,51.4726584912212,3.96682117997694,1.24583317594752,5.04336008101638,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
912.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.40088389491016,1.84751538168743,0,2413.8,4.05200586205031,2.37724791360408,42.0654486340017,4.8558662238558,1.67868334661128,3.74292466763509,0,3985.2,4.94777907016091,1.94685784164516,51.3648186636455,3.9751628485324,1.24153845984164,5.06080601641693,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
918,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.38087869552834,1.85844742536605,0,2419.2,4.04565602106018,2.38097911224453,41.9995284653006,4.86350607012954,1.67231151664194,3.75718593375261,0,3990.6,4.93749803139767,1.95091166015997,51.2580872020625,3.98345342608142,1.23728212083337,5.07821555115298,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
923.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.36110747508665,1.86937946904468,0,2424.6,4.03937802159556,2.38467962888645,41.9343541114141,4.87108317884064,1.66599769924753,3.77142496056116,0,3996,4.92732208192495,1.9549407003058,51.1524467132725,3.99169341146971,1.2330635840653,5.09558905832291,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
928.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.34156615255708,1.8803115127233,0,2430,4.03317067499921,2.38834982639867,41.8699132324293,4.87859829101799,1.65974101851819,3.78564199900848,0,4001.4,4.91724958216047,1.95894520311054,51.0478801761343,3.99988329629131,1.22888228673976,5.11292690518712,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
934.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.32225074127062,1.89124355640193,0,2435.4,4.02703281890722,2.39199006182535,41.8061937613943,4.88605213580762,1.65354061710898,3.79983729590204,0,4006.8,4.90727892738787,1.96292540611666,50.944370931463,4.00802356503455,1.22473767779472,5.13022945329256,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
939.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.30315734620585,1.90217560008055,0,2440.8,4.02096331651697,2.39560068650776,41.7431838967191,4.89344543072101,1.64739565573458,3.81401109400029,0,4012.2,4.89740854681562,1.96688154345095,50.8419026722612,4.01611469522421,1.22062921759026,5.14749705859388,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
945,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.28428216137039,1.91310764375917,0,2446.2,4.01496105587976,2.3991820462029,41.6808720948318,4.90077888187692,1.6413053126808,3.82816363210149,0,4017.6,4.88763690266679,1.97081384589245,50.7404594342683,4.02415715756005,1.21655637760523,5.16473007157129,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.26562146727169,1.9240396874378,0,2451.6,4.00902494921698,2.40273448119897,41.6192470630795,4.90805318423677,1.6352687833321,3.84229514513001,0,4023,4.87796248929829,1.97472254093866,50.640025586818,4.03215141605175,1.21251864014374,5.18192883734531,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
955.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.24717162847355,1.93497173111642,0,2457,4.00315393225902,2.40625832642783,41.5582977528656,4.91526902183407,1.6292852797147,3.8564058642203,0,4028.4,4.86838383234867,1.97860785287003,50.5405858239908,4.04009792815037,1.208515498051,5.19909369578842,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
961.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.22892909123493,1.94590377479505,0,2462.4,3.997346963606,2.40975391157464,41.4980133530131,4.92242706799778,1.62335403005442,3.8704960167986,0,4033.8,4.85889948791325,1.98247000281282,50.4421251560505,4.04799714487648,1.20454645443831,5.21622498163385,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
966.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.21089038122803,1.95683581847367,0,2467.8,3.99160302410948,2.41322156118458,41.4383832833455,4.92952798557003,1.61747427834893,3.88456582666235,0,4039.2,4.84950804174564,1.98630920880032,50.3446289011555,4.05584951094511,1.20061102241673,5.23332302458133,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
972,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.19305210133232,1.96776786215229,0,2473.2,3.98592111627432,2.41666159476691,41.3793971884778,4.93657242711824,1.61164528395371,3.89861551405753,0,4044.6,4.84020810848456,1.99012568583265,50.2480826773315,4.06365546488745,1.19670872483918,5.2503881494003,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
977.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.17541092950175,1.97869990583092,0,2478.6,3.98030026367995,2.42007432689634,41.3210449318085,4.94356103514185,1.60586632118129,3.91264529575389,0,4050,4.83099833090512,1.99391964593493,50.1524723946992,4.07141543916958,1.19283909405065,5.26742067603026,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
982.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.15796361670229,1.98963194950954,0,2484,3.97473951042029,2.42346006731194,41.2633165897049,4.95049444227387,1.60013667891316,3.92665538511825,0,4055.4,4.82187737919365,1.9976912982141,50.0577842479457,4.07912986030827,1.18900167164611,5.28442091967863,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
988.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.14070698491704,2.00056399318816,0,2489.4,3.96923792056168,2.4268191210134,41.2062024458755,4.95737327147734,1.59445566022402,3.94064599218569,0,4060.8,4.8128439502451,2.0014408489143,49.9640047090305,4.08679914898383,1.18519600823609,5.30138919091601,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
993.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3.1236379252164,2.01149603686679,0,2494.8,3.96379457761803,2.43015178835507,41.1496929859218,4.96419813623688,1.58882258201781,3.95461732372908,0,4066.2,4.80389676698227,2.00516850147087,49.871120520119,4.09442372015029,1.18142166321929,5.3183257957691,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
