A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity (m/ms),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m),A3 f (kHz),A3 Phase velocity (m/ms),A3 Energy velocity (m/ms),A3 Propagation time (micsec),A3 Coincidence angle (deg),A3 Wavelength (mm),A3 Wavenumber (rad/mm),A3 Attenuation (Np/m),A4 f (kHz),A4 Phase velocity (m/ms),A4 Energy velocity (m/ms),A4 Propagation time (micsec),A4 Coincidence angle (deg),A4 Wavelength (mm),A4 Wavenumber (rad/mm),A4 Attenuation (Np/m)
2176.2,2.85280435298265,2.98240177112258,33.5300230063771,6.9055250586176,1.31091092407989,4.79299179811907,0,2937.6,3.54840484029395,2.46799450755851,40.518728746656,5.54705207333988,1.20792648430486,5.20162889780123,0,4352.4,4.42668611299778,2.19377791943284,45.5834654520787,4.44399496534929,1.01706785061065,6.17774448716195,0,5378.4,5.48877603994526,2.80019966684063,35.7117391249555,3.58281440299795,1.02052209578039,6.15683416670645,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2181.6,2.85311078069488,2.98200305091789,33.5345062672619,6.90477978493024,1.30780655514067,4.80436902727083,0,2943,3.54556237667807,2.47089245817546,40.4712069394722,5.55151308673549,1.20474426662524,5.21536850702782,0,4357.8,4.42110994345611,2.1937848739124,45.5833209487218,4.44961128717693,1.014527959855,6.1932105923208,0,5383.8,5.48348197307555,2.79328692443735,35.8001174620266,3.58627797897141,1.01851517015408,6.168965854705,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2187,2.85341486039413,2.98160564645289,33.538975926936,6.904040381323,1.30471644279567,4.81574777559816,0,2948.4,3.54274573723257,2.4737779301987,40.4240003838856,5.55594066577882,1.20158246412718,5.22909204716437,0,4363.2,4.41556169264186,2.19383265879591,45.5823280773316,4.45521361065507,1.01200075463922,6.20867650382289,0,5389.2,5.47818204634534,2.78637505482624,35.888923074728,3.58975210732403,1.0165111790888,6.18112760236622,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2192.4,2.85371661079711,2.98120955462165,33.5434320089891,6.90330679856982,1.30164049023769,4.82712803904266,0,2953.8,3.53995462247065,2.47665087920153,40.377107988769,5.56033510485092,1.19844086345408,5.24279962306239,0,4368.6,4.41004135341611,2.19392045894012,45.5805038840423,4.46080178335601,1.00948618628762,6.22414193728193,0,5394.6,5.47287624663461,2.7794653181099,35.9781427558888,3.59323683859238,1.01451011133997,6.19331955093155,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2197.8,2.85401605190487,2.98081476758359,33.5478745903642,6.90257898439256,1.29857860219532,4.83850981107922,0,2959.2,3.53718873470593,2.47951127190946,40.3305284928148,5.56469669937068,1.19531925341509,5.2564913425666,0,4374,4.40454891457718,2.19404746834382,45.5778653118591,4.4663756567867,1.00698420543603,6.2396066127561,0,5400,5.46756456278647,2.77255897085103,36.0677630489876,3.59673222231851,1.01251195607157,6.2055418402738,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2203.2,2.85431320139044,2.98042128454999,33.5523036687409,6.90185689224072,1.29553068327453,4.84989308882942,0,2964.6,3.53444778222685,2.48235907279234,40.2842606841373,5.5690257391404,1.19221742637349,5.27016731024633,0,4379.4,4.39908435886123,2.19421289398805,45.5744291148735,4.47193508848523,1.00449476157949,6.25507025770821,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2208.6,2.85460807820852,2.9800291000199,33.5567192948996,6.90114047251571,1.29249663959455,4.86127786695879,0,2970,3.53173147573469,2.48519425494857,40.2383032235319,5.5733225138777,1.18913517701505,5.28382763257544,0,4384.8,4.39364766509923,2.19441595227123,45.5702119265491,4.477479939903,1.00201780357125,6.27053260409738,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2214,2.85490070114707,2.97963820851486,33.5611215194622,6.90042967609114,1.28947637811521,4.87266414012449,0,2975.4,3.52903953037873,2.48801679339391,40.1926547543877,5.57758730992638,1.18607230301093,5.29747241481759,0,4390.2,4.38823880827998,2.19465586913111,45.5652302516072,4.48301007639761,0.999553279641015,6.28599338840263,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2219.4,2.85519108743354,2.97924860910615,33.5655103418853,6.8997244576962,1.28646980599871,4.8840519053627,0,2980.8,3.52637166635174,2.49082666282435,40.1473139389836,5.5818204092247,1.18302860519047,5.31110176001873,0,4395.6,4.38285775622798,2.19493188629061,45.5595003310094,4.48852537069856,0.997101136643003,6.30145235651174,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2224.8,2.85547925554836,2.97886029628087,33.5698858133262,6.89902476908028,1.28347683187179,4.89544115729487,0,2986.2,3.52372760478161,2.49362385042144,40.1022792523817,5.58602209574638,1.18000388613677,5.32471577508969,0,4401,4.37750447579788,2.19524325032141,45.5530383639073,4.49402569663285,0.994661321471912,6.31690925498305,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
